"id вопроса
",Номер билета,"Номер вопроса
(В билете)","Тема вопроса
","Картинка
(Прямая ссылка на изображение с расширением .jpg, .png)",Вопрос,Вариант1,Вариант2,Вариант3,"Вариант4
(Если варианта 4 нет,
 то не заполнять)",Правильный ответ,Подсказка,Ссылка на видеоразбор вопросов,,id темы,Тема,Количество вопросов,Изображение,Ссылка
1,1,1,Общие положения,https://storage.watbot.ru/bots/53270/general/88e10f18-fca6-40cc-8a5c-ec5ade139bb1.jpeg?expires_at=1727818176&s=UJDzHs8udTOpsVYudnWwiY8nuXciRY1n62YhdR2xN5ONgQUURreVf41NkkjJIl0F&sign=a3154b119a145cb136a1be49b1ec7fd039e8ab3a269ae8adb9471f142488e512,В каком случае водитель совершит вынужденную остановку?,В обоих перечисленных случаях.,Остановившись на проезжей части из-за технической неисправности транспортного средства.,"Остановившись непосредственно перед пешеходным переходом, чтобы уступить дорогу пешеходу.",,2,"Под вынужденной остановкой подразумевается прекращение движения ТС из-за его технической неисправности, опасности, создаваемой перевозимым грузом, внезапным ухудшением состояния водителя (или пассажира), а также появлением препятствия на дороге (упавший груз, завал на дороге и т. п.) (термин из п. 1.2. ПДД РФ). Остановка, связанная с необходимостью выполнения требования уступить дорогу, не рассматривается как вынужденная.",https://vk.com/video-219391172_456239644?list=ln-16ZmXCmKhEkZFnS8pL,,1,Общие положения,25,,https://storage.watbot.ru/bots/53270/general/f639a365-d9c3-4dbe-ae87-9cf82a1c92ab.jpeg?expires_at=1728932543&s=VB9o2xwbMzbJN5W5O15YKRT8fDNIQV11usuvAbfIenHwBjg6zySbX3EqV53wr4db&sign=39602ee1b0d33a6809de83a181f9aae5c764a93f678d9eb0caaad84e59731f67
2,1,2,Предупреждающие знаки,https://pdd-exam.ru/img/pdd-online/bilet1-2.jpg,Разрешен ли Вам съезд на дорогу с грунтовым покрытием?,Запрещен.,Разрешен.,Разрешен только при технической неисправности транспортного средства.,,2,"Знаки 1.11.2 «Опасный поворот» и 1.34.2 Направление поворота» указывают направление движения на закруглениях дороги малого радиуса с ограниченной видимостью, или, как их называют, «закрытых» поворотах. Эти знаки не ограничивают возможность съезда с дороги, в данном случае - на примыкающую справа грунтовую дорогу.",https://vk.com/video-219391172_456239646?list=ln-vr5OYZATSXry1ISzxd,,2,Обязанности водителей,15,,https://storage.watbot.ru/bots/53270/general/c34844fc-0e1f-4ff1-829e-540c3ce7fdbc.jpeg?expires_at=1728932543&s=YIDWofYmgSZMNMe0MUwqojPvJp7xfJnDai94g0qHUi0kiVRBCd9AAdLpER9aEkSY&sign=0fedb0c66b9f1a4d2a7fc842237c9acc170158be1f6d7af562c0086af738a681
3,1,3,Остановка,https://pdd-exam.ru/img/pdd-online/bilet1-3.jpg,Можно ли Вам остановиться в указанном месте для посадки пассажира?,Нельзя.,Можно.,"Можно, если Вы управляете такси.",,2,"Знак 3.28 «Стоянка запрещена» остановку не запрещает, поэтому Вы можете остановиться в указанном месте.
Термины и определения можно повторить в пункте 1.2. ПДД РФ.",https://vk.com/video-219391172_456239647?list=ln-qAMGUhS5XlkGFosuXV,,3,Предупреждающие знаки,16,,https://storage.watbot.ru/bots/53270/general/babdf13f-96fd-4bfb-92c2-559c7a08bbea.jpeg?expires_at=1728932543&s=NN9dhOtnRIkWuBR7b9ncC8D6ldfhzJv3IpUi7D8VwFiDro0IPZh8oRhSBmaD5581&sign=be7e504ab8c6e41275c6fbb469a1538c1a59603061330b33b168b03765cfe138
4,1,4,Предписывающие знаки,https://pdd-exam.ru/img/pdd-online/bilet1-4.jpg,Какие из указанных знаков запрещают движение водителям мопедов?,Только А.,Только Б.,Все.,В и Г.,3,"Все указанные знаки запрещают движение водителям мопедов.
Знак 5.14.1 «Полоса для маршрутных транспортных средств» (знак Б) используется для обозначения полосы, предназначенной для движения только маршрутных ТС, велосипедистов и ТС, используемых в качестве легкового такси.

Знаки
4.4.1 «Велосипедная дорожка» (знак А),
4.5.2 «Пешеходная и велосипедная дорожка с совмещенным движением» (знак В) и
4.5.4 «Пешеходная и велосипедная дорожка с разделением движения» (знак Г)
движение мопедов также не предусматривают (п. 1.2. ПДД РФ термин «Велосипедная дорожка»).

Только знак 5.14.2 «Полоса для велосипедистов» разрешает движение мопедов, но его нет в вопросе.",https://vk.com/video-219391172_456239648?list=ln-6ygLrYzYnmo3dZLsfU,,4,Знаки Приоритета,22,,https://storage.watbot.ru/bots/53270/general/93008707-0ba9-4618-aabe-9a53738f92fd.jpeg?expires_at=1728932543&s=DEVZ1eyEqD681c43KcQJu5Bco7k9ZTOCVk768onWD7Ooo3p0F198jHcc5sw9XG8l&sign=cb3dc85293a5a29253cb41db83ac82324f4da5bf18c788f7b2d732f664541510
5,,,Знаки Особых предписаний,https://pdd-exam.ru/img/pdd-online/bilet1-4.jpg,Какие из указанных знаков запрещают движение водителям мопедов?,Только А.,Только Б.,Все.,В и Г.,3,"Все указанные знаки запрещают движение водителям мопедов.
Знак 5.14.1 «Полоса для маршрутных транспортных средств» (знак Б) используется для обозначения полосы, предназначенной для движения только маршрутных ТС, велосипедистов и ТС, используемых в качестве легкового такси.

Знаки
4.4.1 «Велосипедная дорожка» (знак А),
4.5.2 «Пешеходная и велосипедная дорожка с совмещенным движением» (знак В) и
4.5.4 «Пешеходная и велосипедная дорожка с разделением движения» (знак Г)
движение мопедов также не предусматривают (п. 1.2. ПДД РФ термин «Велосипедная дорожка»).

Только знак 5.14.2 «Полоса для велосипедистов» разрешает движение мопедов, но его нет в вопросе.",None,,5,Запрещающие знаки,42,,https://storage.watbot.ru/bots/53270/general/403eb5ad-b8a7-4a0d-af7b-1f9791380822.jpeg?expires_at=1728932543&s=RhpeDJn0RT288Pes5Y0NDQo24qYdlxxcwT37jFRYWLVIr7BnksLLhYrdXa5XvuSp&sign=f3e0a8a3b5e679a1366660ce72ba654352278c84bff08c63ab507fd052c8ce24
6,,,Мопеды,https://pdd-exam.ru/img/pdd-online/bilet1-4.jpg,Какие из указанных знаков запрещают движение водителям мопедов?,Только А.,Только Б.,Все.,В и Г.,3,"Все указанные знаки запрещают движение водителям мопедов.
Знак 5.14.1 «Полоса для маршрутных транспортных средств» (знак Б) используется для обозначения полосы, предназначенной для движения только маршрутных ТС, велосипедистов и ТС, используемых в качестве легкового такси.

Знаки
4.4.1 «Велосипедная дорожка» (знак А),
4.5.2 «Пешеходная и велосипедная дорожка с совмещенным движением» (знак В) и
4.5.4 «Пешеходная и велосипедная дорожка с разделением движения» (знак Г)
движение мопедов также не предусматривают (п. 1.2. ПДД РФ термин «Велосипедная дорожка»).

Только знак 5.14.2 «Полоса для велосипедистов» разрешает движение мопедов, но его нет в вопросе.",None,,6,Предписывающие знаки,19,,https://storage.watbot.ru/bots/53270/general/8d9f7d2b-b592-45e0-b4e8-471f93bf2e41.png?expires_at=1728932543&s=naG9V22A5FzVREPNUNCpK6GiLjWTzab00FE6WIYlOMdk94apO35ZgCZcGfR6ptWT&sign=0473f7f744eac08133442607c9a56b84aaf78e4341008bc695795b9889535f71
7,1,5,Дорожная разметка,https://pdd-exam.ru/img/pdd-online/bilet1-5.jpg,"Вы намерены повернуть налево. Где следует остановиться, чтобы уступить дорогу легковому автомобилю?",Перед знаком.,На перекрестке перед прерывистой линией разметки.,Перед перекрестком у линии разметки.,В любом месте по усмотрению водителя.,3,"Разметка 1.13 (в виде линии из треугольников) наносится поперек полосы движения и указывает место, где Вы должны при необходимости остановиться, выполняя требование знака 2.4 «Уступите дорогу» и предоставляя преимущество ТС, движущимся по пересекаемой дороге.",https://vk.com/video-219391172_456239649?list=ln-9PPvH42WRKc43q7Pj9,,7,Знаки Особых предписаний,24,,https://storage.watbot.ru/bots/53270/general/109228ce-d8df-44cd-8af4-44bbabf9439e.png?expires_at=1728932607&s=CI1cdNa9kvmOtORiWnH6x6PRTxE9S0zOGEG1GrokqlWghsjQ4gvAaN952lsuHlte&sign=7d7d980984932b8186d187e9e8e7d71dacc647ca1a74d2e019417e2c0a725dbf
8,1,6,Светофор и регулировщик,https://storage.watbot.ru/bots/53270/general/88e10f18-fca6-40cc-8a5c-ec5ade139bb1.jpeg?expires_at=1727818176&s=UJDzHs8udTOpsVYudnWwiY8nuXciRY1n62YhdR2xN5ONgQUURreVf41NkkjJIl0F&sign=a3154b119a145cb136a1be49b1ec7fd039e8ab3a269ae8adb9471f142488e512,Что означает мигание зеленого сигнала светофора?,Запрещает дальнейшее движение.,"Разрешает движение и информирует о том, что вскоре будет включен запрещающий сигнал.",Предупреждает о неисправности светофора.,,2,Для информирования водителей о предстоящей смене зеленого сигнала светофора на желтый Правилами предусмотрена возможность мигания зеленого сигнала. Этот сигнал разрешает движение ТС (п. 6.2. ПДД РФ). Длительность мигания при этом должна составлять 3 сек.,https://vk.com/video-219391172_456239650?list=ln-jBjJyBHu9ZZwnDZlTc,,8,Информационные знаки и знаки Сервиса,17,,https://storage.watbot.ru/bots/53270/general/81ef6c5b-d26b-44e7-95e4-5b89a5e0be4a.png?expires_at=1728932607&s=xq8G5UmJYkpnta1AcDbeYEoA14Ro4ek1IApz2mcyZXeAXnG7EdkeMh1TsnUqaOvk&sign=7dae0489e9a839ce7bc8de2518fe41f76466888103a220df2fea5aa25b2763c2
9,1,7,Сигналы поворота,https://storage.watbot.ru/bots/53270/general/88e10f18-fca6-40cc-8a5c-ec5ade139bb1.jpeg?expires_at=1727818176&s=UJDzHs8udTOpsVYudnWwiY8nuXciRY1n62YhdR2xN5ONgQUURreVf41NkkjJIl0F&sign=a3154b119a145cb136a1be49b1ec7fd039e8ab3a269ae8adb9471f142488e512,Водитель обязан подавать сигналы световыми указателями поворота (рукой):,Перед поворотом или разворотом.,Перед началом движения или перестроением.,Во всех перечисленных случаях.,Перед остановкой.,3,"Перед началом движения, перестроением, поворотом (разворотом) и остановкой водитель обязан подавать сигналы световыми указателями поворота соответствующего направления, а если они отсутствуют или неисправны - рукой (пункт 8.1. ПДД РФ).",https://vk.com/video-219391172_456239651?list=ln-398TUwaPxgejIJ194n,,9,Знаки Таблички,67,,https://storage.watbot.ru/bots/53270/general/3e481afc-3d2f-463e-8d9d-4a4432c2ca9e.jpeg?expires_at=1728932607&s=bj7TMThlTzCzyogpzFUBt6gu23jel3WBlDBROvLVeACSyGyko8JaVkUZS1UWKkee&sign=4aeee3039484553e139bca7d631be73d1c51acf2109cc8f3bab95b491abcdb2e
10,1,8,Дорожная разметка,https://pdd-exam.ru/img/pdd-online/bilet1-8.jpg,Как Вам следует поступить при повороте направо?,Возможны оба варианта действий.,"Продолжить движение по второй полосе до перекрестка, затем повернуть.","Перестроиться на правую полосу, затем осуществить поворот.",,1,"Стрелы разметки 1.18 указывают, что на данном перекрестке поворот направо может осуществляться не только с правой, но и с левой полосы. Следовательно, Вы можете выполнить поворот, либо заранее перестроившись на крайнюю правую полосу (занять крайнее правое положение), либо продолжив движение по левой полосе (пункт 8.5. ПДД РФ).",https://vk.com/video-219391172_456239652?list=ln-Gl5zm43v06zZFOVHiS,,10,Дорожная разметка,42,,https://storage.watbot.ru/bots/53270/general/49d13b4d-00f1-439a-9291-4459b0e9e40f.png?expires_at=1728932607&s=9RB2PDeBko6MVGYzlt3hrxS9M95LfXUJUR4AIU1kVdUVzVL3z5P8r4FftDO87cK3&sign=02a7160a23c87e49ba336aab8135a3bb263b10dd697d85ffdd09728125f763bb
